ticker,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,bookValue,enterpriseToRevenue,enterpriseToEbitda,profitMargins,grossMargins,operatingMargins,returnOnAssets,returnOnEquity,revenuePerShare,trailingEps,forwardEps,totalRevenue,ebitda,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow,Valorização (%)
ENGI11.SA,23761641472.0,153972047872.0,37.666668,9.976967,6.518686,7.974,4.385,17.782,0.09726,0.26353002,0.19992,0.05495,0.20562,15.362,1.38,5.21,35112189952.0,8658715648.0,171.108,1.23,1.137,8717614080.0,39199219712.0,-2929896448.0,26.46
EVEN3.SA,1471679616.0,1957441024.0,44.66029005095808,5.1369863,0.77688,9.654,1.127,21.631,-0.012130001,0.27049,0.06796,0.00991,0.044180002,8.845,0.04,1.46,1737197952.0,90492000.0,51.684,4.802,2.092,923312000.0,1125729024.0,710772480.0,15.95
FESA4.SA,2810118912.0,1681631488.0,9.175675,4.85,0.6848901,9.914,0.702,7.576,0.113900006,0.14295,0.00944,0.00385,0.08212,7.04,0.74,1.4,2394478080.0,221974000.0,10.216,3.459,2.435,971918016.0,344372992.0,97200752.0,84.42
FLRY3.SA,7875473920.0,11246490624.0,13.018018,10.248227,1.4640324,9.87,1.434,6.476,0.077309996,0.26916,0.15231,0.05807,0.10706,14.392,1.11,1.41,7841614848.0,1736743936.0,98.057,2.506,2.375,2084611968.0,5364212224.0,595040640.0,-10.75
GOAU3.SA,10441213952.0,56784179200.0,1.7105691,9.3632405,0.5395702,19.497,0.822,6.704,0.01629,0.124069996,0.0832,0.0418,0.059580002,68.504,6.15,1.68,69101658112.0,8470715904.0,35.379,2.893,1.439,8987789312.0,19519410176.0,-375352992.0,173.16
GRND3.SA,4736339968.0,3412924928.0,5.8333335,7.0,1.1784512,4.455,1.251,7.401,0.29723,0.47382998,-0.022939999,0.0637,0.2116,3.024,0.9,0.75,2728012032.0,461169984.0,2.15,4.932228893882055,3.320108935351241,1409821952.0,86407000.0,191068496.0,25.7
HYPE3.SA,14981712896.0,22846840832.0,20.23077,9.700819,1.2493403,18.946,3.43,19.994,0.11148,0.56104,0.29993,0.02401,0.06136,10.533,1.17,2.44,6661740032.0,1142670976.0,75.588,1.265,0.729,1203614976.0,9066365952.0,990943744.0,17.92
IRBR3.SA,3960377344.0,-14700746.0,6.383905,7.9458127,0.7604903,63.63,-0.003,-0.029,0.10993,0.08574,0.16619,0.0191,0.12564999,68.412,7.58,6.09,5598757888.0,503443008.0,10.14,1.393,1.096,4503157760.0,528080000.0,-406394240.0,-95.63
ITSA4.SA,124059860992.0,132105994240.0,8.115108,6.714286,1.3652868,8.262,11.776033818343084,37.90723952953526,0.7922120010201376,0.28026,-0.0165,0.0035899999,0.17228001,0.77,1.39,1.68,8328000000.0,1847000064.0,13.478,2.0,1.581,7342000128.0,12675999744.0,-1073249984.0,30.96
JHSF3.SA,4151784192.0,8106040320.0,3.740964,6.606383,0.6933125,8.957,4.46,11.646,0.62887,0.58862996,0.39701998,0.030469999,0.19003999,2.681,1.66,0.94,1817356032.0,696056000.0,89.622,2.477,1.63,2218411008.0,5747864064.0,-867270528.0,101.62
KLBN11.SA,127624855552.0,141830733824.0,27.170952,9.354166,8.717237083656629,1.678,6.962,19.787,0.10257,0.30020002,0.17296,0.03175,0.18424,3.352,0.661,1.92,20372684800.0,7167886848.0,280.953,2.113,1.536,8082753024.0,37616013312.0,-3694349568.0,73.58
LIGT3.SA,2556918016.0,8700906496.0,0.77880186,11.522728,0.33795497,15.002,0.579,3.424,0.16104001,0.09578,0.05316,0.04203,0.58487,40.038,6.51,0.44,15030811648.0,2541502976.0,178.717,1.15,0.995,3176379904.0,9988430848.0,1504459776.0,-68.37
LREN3.SA,14618946560.0,16118334464.0,11.29771,9.426751,1.4375911,10.295,1.044,7.634,0.088640004,0.61169,0.13419,0.05921,0.13270001,14.878,1.31,1.57,15432867840.0,2111467008.0,30.11,1.742,1.414,1790786048.0,3101498112.0,1449941376.0,-63.1
SMFT3.SA,15438842880.0,24172566528.0,29.712645,21.722689,2.7377675,9.442,3.758,12.149,0.08247,0.42375,0.24065,0.053779997,0.09691,10.908,0.87,1.19,6432046080.0,1989737984.0,202.458,1.455,1.451,2732549888.0,11449954304.0,-472619136.0,
