,ticker,marketCap,enterpriseValue,trailingPE,forwardPE,pegRatio,priceToBook,bookValue,enterpriseToRevenue,enterpriseToEbitda,profitMargins,grossMargins,operatingMargins,returnOnAssets,returnOnEquity,revenuePerShare,earningsPerShare,trailingEps,forwardEps,totalRevenue,ebitda,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow,Cluster
0,PETR4.SA,1.0,1.0,0.20138575016625268,0.2488795665316342,,0.43389865144145606,0.7139002737553007,0.4312181751803154,0.3778008958937875,0.48378881427654064,0.637072150844683,0.6590521618342563,0.7173128502210013,0.49120653927001307,0.4499807925260345,,0.6342305107064892,1.0,1.0,1.0,0.2846898979162841,0.10870464224646746,0.09491179958397211,1.0,1.0,1.0,1
1,VALE3.SA,1.0,1.0,0.1601734885830538,0.26898387532714735,,0.44231292203147243,0.9174598386458371,0.43217718833370566,0.3891168160887947,0.5265961107104395,0.5290497307825294,0.5834041133285932,0.670752578338862,0.5255107220888885,0.578835319345756,,0.8548928248409147,1.0,1.0,1.0,0.15587568646251068,0.20034382452736055,0.14040400697077257,0.6885006153888426,0.8685329373385731,1.0,1
2,ABEV3.SA,1.0,0.7812759171443796,0.4057675152924396,0.6593377909254119,,0.551195220201676,0.4118785017193119,0.4829363845238605,0.4592711773745398,0.533762344734033,0.6506756496424357,0.5640529272830389,0.7870232222279014,0.5397313118485286,0.06859007617028043,,0.47559516547054637,0.2231278571747604,0.755735604902569,1.0,0.01014193615833779,0.19964250425480265,0.20422401013930552,0.6090450320833557,0.026248150658625014,1.0,0
3,ITUB4.SA,1.0,1.0,0.24181637945309067,0.41278057603377316,,0.523063126707961,0.5662620519258643,0.8280441178652913,0.4592385979497941,0.6541501004677936,0.2596244573870408,0.6721070655125625,0.3492005777762885,0.5961653828143605,0.15223166888524786,,0.6402685342275803,0.6355763204371964,1.0,0.14608047643723296,0.25175001479647163,0.33125694207149337,0.3704833004450222,1.0,1.0,0.4748945326801317,1
4,BBDC4.SA,0.875762956008452,1.0,0.24377907193926576,0.3679051180204317,,0.43379541093489343,0.5352653705268483,0.8754467680185805,0.4592385979497941,0.5888357210883618,0.2596244573870408,0.6275614303632646,0.3162182201838161,0.4825615219247982,0.09256273983687657,,0.5178613301181851,0.37751430380578155,0.6894203300419919,0.14608047643723296,0.25175001479647163,0.33125694207149337,0.3704833004450222,1.0,1.0,0.4748945326801317,1
5,B3SA3.SA,0.3986198678292792,0.2829353416110404,0.41796115752185775,0.6800559223298441,,0.6889640980498829,0.38206929192207495,0.8519509457605196,0.5498419781675914,0.8077902069995387,0.9892735744664962,0.9360061608505109,0.7086250936576703,0.6342747663092516,0.021508839003346363,,0.473948431782976,0.21862022369648246,0.07991718274868999,0.33094755803361386,0.24999138593910009,0.43855894377284516,0.6434365447658248,0.4341351332352974,0.12546562967194427,0.5904059433820948,0
6,WEGE3.SA,0.9750922345342884,0.679847110596192,0.7705811017239667,1.0,,1.0,0.4000160276767975,0.6337754533642399,0.7393021928720973,0.5329109928258091,0.5151346282653883,0.5095497061943898,0.9995357272719579,0.7293355310657744,0.11188799963630015,,0.507432016763573,0.3031383514141947,0.3300891907132449,0.453056653266237,0.0548447524702392,0.3399065587663736,0.27197139811820975,0.16950364302905704,0.03261121221513539,0.5304315003101838,0
7,EQTL3.SA,0.251635250478118,0.3615303481631478,0.39120309044580254,0.6328365243250718,,0.496888699909376,0.5998417901081317,0.4675236731300888,0.4804043642262519,0.4577523238794018,0.4509854069554263,0.514939940697851,0.5339330084505642,0.5117154858025387,0.4330492960250289,,0.560676405995014,0.4135753716320055,0.38898392661908937,0.5806292468345609,0.542633344775673,0.231669463368278,0.35182822259575874,0.3082505584154729,0.4448577201934951,0.7549491848539613,0
8,RADL3.SA,0.13949583584607614,0.12577073319871962,0.5599910536920545,0.7241641784103472,,0.6937575014830125,0.38427284747176804,0.38717207106389223,0.5291649032623191,0.4280128659591143,0.4843557774699132,0.3781594965605583,0.6186779055410727,0.5677586569264168,0.28247574610746573,,0.4646169408867441,0.21749331532691293,0.3282986652604303,0.16201334361864173,0.362959586766713,0.25528057921105907,0.08934800443594616,0.01389152475888205,0.06294957388470583,0.5366346652198084,0
9,BBAS3.SA,0.7336202759073986,1.0,0.14571524066486147,0.2315238343897934,,0.4116670656668068,0.7168505897968341,0.9311380318547423,0.4592385979497941,0.6792443344102362,0.2596244573870408,0.5200435502043708,0.342957862359704,0.5703337928378758,0.18971449907023258,,0.6347794219356793,0.8913845203294724,0.7627248526087212,0.14608047643723296,0.25175001479647163,0.33125694207149337,0.3704833004450222,1.0,1.0,0.4748945326801317,1
10,ITSA4.SA,0.6615500967630695,0.49793180413856497,0.19830459674352413,0.3550049920502075,,0.4680746452169512,0.4354443041257518,1.0000000000000002,1.0,1.0,0.4769992485111286,0.3261433623885319,0.28635721639793726,0.5547566588835942,0.009236423263651995,,0.5013939932424818,0.3031383514141947,0.0677342473338142,0.09590482861608968,0.0420235834787579,0.4020902895998367,0.47914094686529374,0.22323898387542915,0.10223840217733841,0.4755822872148297,0
11,JBSS3.SA,0.4882948108036138,0.7516685498796307,0.17716450127832978,0.4712868248441143,,0.5273444176645964,0.5769492963418758,0.3612787159223557,0.4100328067755354,0.42402060409821973,0.37386344840816754,0.3769483157188333,0.6725213484438819,0.645529377795678,1.0,,0.7286432421271886,0.584865443806569,1.0,1.0,0.840434967755526,0.3202695911347536,0.23793406309499215,0.8310713793706243,1.0,1.0,1
12,RENT3.SA,0.24837513067569197,0.3127330788951702,0.6427752280261825,0.5801985505928655,,0.4968555873837083,0.6450024369015637,0.47492177459909923,0.5676303440787448,0.44469275091829724,0.41050169852211454,0.5190265173251558,0.5240486945179822,0.43730160856032574,0.42847195352268813,,0.5244482648684665,0.5037280411975652,0.3193102517949095,0.3416067356405465,0.5119873253828672,0.27491754684267905,0.3161544772348865,0.2448546047265865,0.36112212865941984,0.7121511700838075,0
13,HAPV3.SA,0.11634909090566949,0.1105247011834333,0.2867271640258377,0.481489040699749,,0.3830054836403403,0.4184157165167347,0.3977897166907127,0.6031201974350628,0.3845939186396952,0.3464968566926887,0.3844003252519039,0.30014321764660934,0.3370906294610839,0.045528210246497,,0.4218018650099153,0.14649808804403464,0.24264267030627573,0.10914367563374294,0.10632517147420231,0.35463428449008855,0.4745589979198606,0.28410853336540914,0.1385454634963817,0.40919664963727115,0
14,LREN3.SA,0.10013260146478223,0.07583121235353832,0.3942856183816203,0.5473752129556476,,0.5034072962265094,0.46238889170838776,0.422176051162636,0.5130489478214453,0.475118249696668,0.7219002254706687,0.409493071992293,0.544857764981569,0.4973684166128138,0.16504122175531896,,0.49206250234624976,0.2907423593489303,0.12199918984813476,0.10618122147432688,0.08894074290846286,0.33125694207149337,0.38553827555144543,0.04870758566312945,0.0243949393006044,0.5324902720090636,0
15,SUZB3.SA,0.33659511182456137,0.5497545755803646,0.2867271640258377,0.3628418805286535,,0.4869616965939932,0.7174259626348097,0.5289690158865921,0.4282338454001343,0.3878009521858669,0.5677247058561399,0.5252488528285757,0.5799730538312271,0.32772135700887767,0.46166936355879756,,0.1292321798515849,0.9375877634818216,0.4081060470387289,1.0,0.7767940125134594,0.5519390545030317,0.5619433099506211,0.4926715989087073,0.7984471607980036,0.5292318172448838,1
16,KLBN11.SA,0.7057900901840891,0.5586167388623592,0.7503178614557959,0.46890507238751267,,1.0,0.35529609199330403,0.8271536056514291,0.7383030905132293,0.47803598973164896,0.4904507377094663,0.4333006669883885,0.44710720535415016,0.5411453477383033,0.039000826423005897,,0.46192727586371257,0.33018415228386266,0.16558891856739644,0.3737325925096893,1.0,0.3988174616612334,0.41663007196688456,0.19388044168398225,0.3089972275563499,0.22580521957764052,0
17,GGBR4.SA,0.16539845904467196,0.1548374760355988,0.2440326555785726,0.3042816569749996,,0.3934663284133368,0.6759011824983711,0.3714168549724811,0.39891236312900247,0.4433041380971165,0.35691607281096743,0.40425077374656737,0.4994940296596205,0.42316147958337635,0.38449677019662815,,0.5123722178262841,0.4394942641321039,0.5621891416262547,0.4488100045768011,0.08684262221949432,0.5580171635318665,0.3659013514995891,0.2058667815095766,0.13045137176028576,0.4108945408808831,0
18,ENBR3.SA,0.09804130459230778,0.12105494597345741,0.2867271640258377,0.4624202577990875,,0.4636443211624165,0.45947530159268246,0.4408768076537457,0.4592385979497941,0.47803598973164896,0.4769992485111286,0.49293524291284746,0.4994419757958828,0.4973684166128138,0.16622058806332005,,0.4887690349711091,0.30201144304462524,0.12620763869824964,0.14608047643723296,0.25175001479647163,0.33125694207149337,0.3704833004450222,0.14078958402531117,0.08451529102910607,0.4748945326801317,0
19,CSNA3.SA,0.05992716984253115,0.18273961431249944,0.2867271640258377,0.40692395310020996,,0.4187577530423151,0.4587040571502899,0.4034752946715263,0.4244980713626272,0.35537519052735056,0.4594666944740251,0.41154561059817596,0.4216161067818058,0.23876500089210206,0.3956715578872918,,0.3169598202346036,0.2310162157617469,0.37006355935025353,0.42340057165288025,1.0,0.323542419073357,0.3387369398945212,0.6207928046968402,0.4414144309190552,0.41565865141098574,1
20,ELET3.SA,0.525343306622371,0.5466161601691343,0.25353023246052825,0.4997655550640256,,0.4134200780624184,0.9996157347235608,0.5636989922272244,0.48324963398737647,0.59504315102114,0.6667490574397802,0.5848464377543487,0.41709014142122597,0.44818836401661477,0.21928039502922986,,0.6561869598740937,0.5713425433717351,0.3452983600891109,0.8627778743390756,0.18815493682894524,0.4761964650667833,0.41270268715651326,0.809056661821683,0.6105776257841026,0.8637878938830876,1
21,TAEE11.SA,0.0667773284818773,0.0837074533636181,1.0,0.5344232842173174,,0.49306698336375093,0.5972587333248802,0.7060439445661473,0.5052516054989739,0.7541963645439679,0.7428526535072072,0.8928196853307526,0.6259090539115949,0.6228246991538284,0.13507831139560844,,0.4750462542413562,0.4687938817409108,0.032865474534995956,0.1211016672638699,0.4340938301836672,0.3740374786975225,0.5099054612132019,0.023864023568982432,0.08451529102910607,0.530951801059595,0
22,CMIG4.SA,0.20414891760137077,0.16138781235524796,0.09739713071332749,0.36218232663392447,,0.4432337817267248,0.457381923820474,0.4017627711833295,0.3955458225719466,0.5461937357046034,0.37628015936776826,0.4644863135589231,0.6930703212635253,0.6549906185664335,0.16622058806332005,,0.5601274947658239,0.2941230844576388,0.3348184385162688,0.48361669695597254,0.17137302980216618,0.18842137989387697,0.23106113967684247,0.14078958402531117,0.1277233881818655,0.5257736110124719,0
