ticker,marketCap,enterpriseValue,trailingPE,forwardPE,pegRatio,priceToBook,bookValue,enterpriseToRevenue,enterpriseToEbitda,profitMargins,grossMargins,operatingMargins,returnOnAssets,returnOnEquity,revenuePerShare,earningsPerShare,trailingEps,forwardEps,totalRevenue,ebitda,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow
ELET3.SA,95741386752.0,142282997760.0,9.990477,10.334975,,0.7763039,54.051,3.398,8.556,0.23156,0.53571,0.27456,0.028870001,0.082770005,18.739,,4.2,4.06,41877458944.0,16630330368.0,61.574,2.29,1.379,26977865728.0,74860232704.0,6924738048.0
TAEE11.SA,12188375040.0,21747798016.0,39.31111,11.231746,,1.6701285,21.184,5.476,9.569,0.42411,0.63585,0.60766,0.06901,0.23468,11.528,,0.9,3.15,3971546880.0,2272766976.0,141.986,1.853,1.676,802620032.0,10362047488.0,1264923136.0
CMIG4.SA,37218164736.0,41974718464.0,4.42449,6.775,,1.1108834,9.758,1.034,4.518,0.17246,0.1535,0.14438,0.081920005,0.26266,14.195,,2.45,1.6,40605982720.0,9290428416.0,56.087,1.059,0.824,4700460032.0,15659601920.0,1176868992.0
BRKM5.SA,9064324096.0,65165258752.0,,10.689321,,-2.0714958,-5.315,0.825,22.921,-0.1175,0.07721,0.00637,-0.00607,,99.064,,-11.64,1.03,78950998016.0,2843000064.0,,1.317,0.721,13029000192.0,68976001024.0,-4363749888.0
EMBR3.SA,48111116288.0,54273859584.0,21.40196,22.582758,,2.6231675,24.966,1.452,14.25,0.059120003,0.17787,0.051609997,0.033069998,0.12720999,50.885,,3.06,2.9,37381095424.0,3808754944.0,62.444,1.321,0.539,7796759040.0,12432989184.0,1462672512.0
CPLE6.SA,36314501120.0,29479041024.0,16.037973,14.235955,,1.4319621,8.848,1.275,5.391,0.12729,0.18611,0.21743,0.04441,0.095769994,7.759,,0.79,0.89,23126124544.0,5468179968.0,72.953,1.484,1.244,6057193984.0,19138037760.0,-4097843712.0
AZUL4.SA,831744896.0,34682871808.0,,-0.9375,,-0.014041438,-64.096,1.713,7.979,-0.31851998,0.30522,0.27452,0.10589,,55.04,,-26.23,-0.96,20242219008.0,4346507776.0,,0.35,0.207,1601126016.0,35884503040.0,2828514560.0
CCRO3.SA,27039072256.0,55405649920.0,21.693548,13.151463,,1.986706,6.77,2.543,8.077,0.05732,0.41152,0.19758,0.05874,0.096870005,10.81,,0.62,0.94,21783791616.0,6860085760.0,245.454,1.703,1.489,6392287232.0,34368684032.0,-2601286400.0
PRIO3.SA,31746314240.0,49652994048.0,2.8660781,4.893216,,1.1934673,32.636,3.183,5.869,0.72613996,0.43693,0.21794,0.08392,0.53946996,18.82,,13.59,7.96,15601275904.0,8460777984.0,82.942,3.194,2.606,4162326016.0,22065295360.0,-10136115200.0
BRAP4.SA,6006733312.0,5425890304.0,5.5913982,2.3600605,,0.70748305,22.05,-342.198,,0.0,0.0,4.54604,-0.00528,0.13831,-0.04,,2.79,6.61,-15856000.0,,0.055,5.831,5.826,711201024.0,4784000.0,18849876.0
